default;401.1;1;;0;0;0;0;0
simulation;timeStamp; localId; ;Local recievedMsgTemporario;Local rateRecievedMSGPperiod;Local totalReceivedMsg;totalForwardedMsg;totalTransmittedMsg
default;411.1;0;;0;0;0;0;0
default;413.1;2;;0;0;0;0;0
default;199.1;2;;0;0;0;0;0
default;203.1;4;;0;0;0;0;0
default;216.1;1;;0;0;0;0;0
default;219.1;3;;0;0;0;0;0
default;223.1;5;;0;0;0;0;0
simulation;timeStamp; localId; ;Local recievedMsgTemporario;Local rateRecievedMSGPperiod;Local totalReceivedMsg;totalForwardedMsg;totalTransmittedMsg
default;248.1;0;;0;0;0;0;0
simulation;timeStamp; localId; ;Local recievedMsgTemporario;Local rateRecievedMSGPperiod;Local totalReceivedMsg;totalForwardedMsg;totalTransmittedMsg
default;585.000017013893;0;;0;0;0;0;0
default;585.000017013893;1;;0;0;0;0;0
default;585.000017013893;2;;0;0;0;0;0
default;585.000017013893;3;;0;0;0;0;0
default;585.000017013893;4;;0;0;0;0;0
default;585.000017013893;5;;0;0;0;0;0
